Date : 2022-05-10 14:42:42
Directory : c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis
Total : 205 files,  531588 codes, 18256 comments, 116866 blanks, all 666710 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSS              |         20 |    486,360 |      5,679 |    110,165 |    602,204 |
| JavaScript       |         88 |     33,016 |     11,308 |      4,185 |     48,509 |
| Python           |         29 |      4,778 |        800 |        456 |      6,034 |
| XML              |          4 |      3,808 |          3 |      1,664 |      5,475 |
| SQL              |          9 |      1,445 |          2 |         79 |      1,526 |
| HTML             |         18 |        900 |        215 |         39 |      1,154 |
| LaTeX            |         21 |        688 |        167 |        204 |      1,059 |
| TeX              |          1 |        228 |         69 |         41 |        338 |
| JSON             |          2 |         89 |          0 |          2 |         91 |
| pip requirements |          2 |         88 |          0 |          1 |         89 |
| Markdown         |          3 |         71 |          0 |         21 |         92 |
| BibTeX           |          2 |         57 |          0 |          3 |         60 |
| Batch            |          2 |         24 |          0 |          1 |         25 |
| Shell Script     |          2 |         18 |          5 |          2 |         25 |
| YAML             |          1 |         11 |          0 |          1 |         12 |
| Docker           |          1 |          7 |          8 |          2 |         17 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                    |        205 |    531,588 |     18,256 |    116,866 |    666,710 |
| src                                                                                                                                                                  |        171 |    529,703 |     17,972 |    116,546 |    664,221 |
| src\App                                                                                                                                                              |        157 |    527,437 |     17,904 |    116,413 |    661,754 |
| src\App\Config                                                                                                                                                       |          3 |         69 |        198 |         34 |        301 |
| src\App\Models                                                                                                                                                       |          2 |        502 |         43 |         41 |        586 |
| src\App\Utils                                                                                                                                                        |          2 |         35 |         30 |         10 |         75 |
| src\App\Views                                                                                                                                                        |         17 |      2,702 |        413 |        269 |      3,384 |
| src\App\Views\backup                                                                                                                                                 |          2 |        324 |         64 |         43 |        431 |
| src\App\static                                                                                                                                                       |        114 |    523,187 |     16,990 |    116,016 |    656,193 |
| src\App\static\amis                                                                                                                                                  |         94 |    515,487 |     16,460 |    115,706 |    647,653 |
| src\App\static\amis\locale                                                                                                                                           |          1 |        297 |          0 |          4 |        301 |
| src\App\static\amis\renderers                                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src\App\static\amis\renderers\Form                                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| src\App\static\amis\themes                                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| src\App\static\amis\thirds                                                                                                                                           |         64 |     25,087 |     10,362 |      3,876 |     39,325 |
| src\App\static\amis\thirds\bootstrap                                                                                                                                 |          1 |        288 |          0 |          0 |        288 |
| src\App\static\amis\thirds\bootstrap\fonts                                                                                                                           |          1 |        288 |          0 |          0 |        288 |
| src\App\static\amis\thirds\entities                                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| src\App\static\amis\thirds\entities\lib                                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| src\App\static\amis\thirds\entities\lib\maps                                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| src\App\static\amis\thirds\flv.js                                                                                                                                    |          1 |          6 |          0 |          0 |          6 |
| src\App\static\amis\thirds\font-awesome                                                                                                                              |          1 |      2,671 |          0 |          1 |      2,672 |
| src\App\static\amis\thirds\font-awesome\fonts                                                                                                                        |          1 |      2,671 |          0 |          1 |      2,672 |
| src\App\static\amis\thirds\hls.js                                                                                                                                    |          1 |         92 |        273 |          0 |        365 |
| src\App\static\amis\thirds\monaco-editor                                                                                                                             |         58 |     22,027 |     10,082 |      3,874 |     35,983 |
| src\App\static\amis\thirds\monaco-editor\min                                                                                                                         |         58 |     22,027 |     10,082 |      3,874 |     35,983 |
| src\App\static\amis\thirds\monaco-editor\min\vs                                                                                                                      |         58 |     22,027 |     10,082 |      3,874 |     35,983 |
| src\App\static\amis\thirds\monaco-editor\min\vs\base                                                                                                                 |          1 |         12 |          8 |          2 |         22 |
| src\App\static\amis\thirds\monaco-editor\min\vs\base\worker                                                                                                          |          1 |         12 |          8 |          2 |         22 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages                                                                                                      |         44 |        167 |        288 |         37 |        492 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages\apex                                                                                                 |          1 |          2 |          9 |          0 |         11 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages\azcli                                                                                                |          1 |          4 |          6 |          1 |         11 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages\bat                                                                                                  |          1 |          4 |          6 |          1 |         11 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages\clojure                                                                                              |          1 |          4 |          6 |          1 |         11 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages\coffee                                                                                               |          1 |          4 |          6 |          1 |         11 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages\cpp                                                                                                  |          1 |          4 |          6 |          1 |         11 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages\csharp                                                                                               |          1 |          4 |          6 |          1 |         11 |
| src\App\static\amis\thirds\monaco-editor\min\vs\basic-languages\css                                                                                                  |          1 |          6 |          6 |          1 |         13 |
