"filename", "language", "Python", "LaTeX", "Markdown", "BibTeX", "pip requirements", "YAML", "JSON", "TeX", "Batch", "Shell Script", "comment", "blank", "total"
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\Database.py", "Python", -657, 0, 0, 0, 0, 0, 0, 0, 0, 0, -43, -46, -746
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, -1, -12
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\requirements.txt", "pip requirements", 0, 0, 0, 0, -45, 0, 0, 0, 0, 0, 0, -1, -46
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\abstract.tex", "LaTeX", 0, -10, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -16
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\acknowlegements.tex", "LaTeX", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -12
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\appendix.tex", "LaTeX", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\conclusion.tex", "LaTeX", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -14
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\main.tex", "LaTeX", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, -35, -14, -72
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\mainbody.tex", "LaTeX", 0, -270, 0, 0, 0, 0, 0, 0, 0, 0, -1, -83, -354
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\preamble.tex", "LaTeX", 0, -68, 0, 0, 0, 0, 0, 0, 0, 0, -29, -10, -107
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\preface.tex", "LaTeX", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -6
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\references.tex", "LaTeX", 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1, -18
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\1.0\refs.bib", "BibTeX", 0, 0, 0, -42, 0, 0, 0, 0, 0, 0, 0, -3, -45
"c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\论文\LatexTemplate\LaTeX-Template\README.md", "Markdown", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -4, -7
