Date : 2022-05-10 14:43:59
Directory : c:\Users\shadowofgost\OneDrive\桌面\Desktop\Documents\ComputerScienceThesis\src
Total : 171 files,  529703 codes, 17972 comments, 116546 blanks, all 664221 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| CSS              |         20 |    486,360 |      5,679 |    110,165 |    602,204 |
| JavaScript       |         88 |     33,016 |     11,308 |      4,185 |     48,509 |
| Python           |         28 |      4,121 |        757 |        410 |      5,288 |
| XML              |          4 |      3,808 |          3 |      1,664 |      5,475 |
| SQL              |          9 |      1,445 |          2 |         79 |      1,526 |
| HTML             |         18 |        900 |        215 |         39 |      1,154 |
| pip requirements |          1 |         43 |          0 |          0 |         43 |
| Docker           |          1 |          7 |          8 |          2 |         17 |
| Markdown         |          1 |          2 |          0 |          1 |          3 |
| JSON             |          1 |          1 |          0 |          1 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                    |        171 |    529,703 |     17,972 |    116,546 |    664,221 |
| App                                                                                                                                                                  |        157 |    527,437 |     17,904 |    116,413 |    661,754 |
| App\Config                                                                                                                                                           |          3 |         69 |        198 |         34 |        301 |
| App\Models                                                                                                                                                           |          2 |        502 |         43 |         41 |        586 |
| App\Utils                                                                                                                                                            |          2 |         35 |         30 |         10 |         75 |
| App\Views                                                                                                                                                            |         17 |      2,702 |        413 |        269 |      3,384 |
| App\Views\backup                                                                                                                                                     |          2 |        324 |         64 |         43 |        431 |
| App\static                                                                                                                                                           |        114 |    523,187 |     16,990 |    116,016 |    656,193 |
| App\static\amis                                                                                                                                                      |         94 |    515,487 |     16,460 |    115,706 |    647,653 |
| App\static\amis\locale                                                                                                                                               |          1 |        297 |          0 |          4 |        301 |
| App\static\amis\renderers                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| App\static\amis\renderers\Form                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| App\static\amis\themes                                                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| App\static\amis\thirds                                                                                                                                               |         64 |     25,087 |     10,362 |      3,876 |     39,325 |
| App\static\amis\thirds\bootstrap                                                                                                                                     |          1 |        288 |          0 |          0 |        288 |
| App\static\amis\thirds\bootstrap\fonts                                                                                                                               |          1 |        288 |          0 |          0 |        288 |
| App\static\amis\thirds\entities                                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| App\static\amis\thirds\entities\lib                                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| App\static\amis\thirds\entities\lib\maps                                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| App\static\amis\thirds\flv.js                                                                                                                                        |          1 |          6 |          0 |          0 |          6 |
| App\static\amis\thirds\font-awesome                                                                                                                                  |          1 |      2,671 |          0 |          1 |      2,672 |
| App\static\amis\thirds\font-awesome\fonts                                                                                                                            |          1 |      2,671 |          0 |          1 |      2,672 |
| App\static\amis\thirds\hls.js                                                                                                                                        |          1 |         92 |        273 |          0 |        365 |
| App\static\amis\thirds\monaco-editor                                                                                                                                 |         58 |     22,027 |     10,082 |      3,874 |     35,983 |
| App\static\amis\thirds\monaco-editor\min                                                                                                                             |         58 |     22,027 |     10,082 |      3,874 |     35,983 |
| App\static\amis\thirds\monaco-editor\min\vs                                                                                                                          |         58 |     22,027 |     10,082 |      3,874 |     35,983 |
| App\static\amis\thirds\monaco-editor\min\vs\base                                                                                                                     |          1 |         12 |          8 |          2 |         22 |
| App\static\amis\thirds\monaco-editor\min\vs\base\worker                                                                                                              |          1 |         12 |          8 |          2 |         22 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages                                                                                                          |         44 |        167 |        288 |         37 |        492 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\apex                                                                                                     |          1 |          2 |          9 |          0 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\azcli                                                                                                    |          1 |          4 |          6 |          1 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\bat                                                                                                      |          1 |          4 |          6 |          1 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\clojure                                                                                                  |          1 |          4 |          6 |          1 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\coffee                                                                                                   |          1 |          4 |          6 |          1 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\cpp                                                                                                      |          1 |          4 |          6 |          1 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\csharp                                                                                                   |          1 |          4 |          6 |          1 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\css                                                                                                      |          1 |          6 |          6 |          1 |         13 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\dockerfile                                                                                               |          1 |          4 |          6 |          1 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\fsharp                                                                                                   |          1 |          4 |          6 |          1 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\go                                                                                                       |          1 |          2 |          9 |          0 |         11 |
| App\static\amis\thirds\monaco-editor\min\vs\basic-languages\handlebars                                                                                               |          1 |          4 |          6 |          1 |         11 |
